Dis No,Year,Disaster Type
2016-0327-SSD,2016,Flood
2016-0518-BRA,2016,Epidemic
2016-0526-CHN,2016,Earthquake
2016-0536-CHN,2016,Earthquake
2016-0533-COL,2016,Flood
2016-0518-COL,2016,Epidemic
2017-0184-CIV,2017,Flood
2017-0328-AUT,2017,Storm
2017-0410-CRI,2017,Storm
2017-0383-DMA,2017,Storm
2017-0383-DOM,2017,Storm
2017-0286-CHN,2017,Storm
2017-0187-CHN,2017,Flood
2017-0215-COL,2017,Flood
2017-0038-AFG,2017,Storm
2017-0071-AFG,2017,Storm
2017-0261-CHN,2017,Flood
2017-0504-ALB,2017,Flood
2017-0174-BGD,2017,Landslide
2017-0202-BRA,2017,Flood
2017-0185-CHL,2017,Flood
2017-0055-CHL,2017,Flood
2017-0331-CHN,2017,Earthquake
2017-0169-CHN,2017,Flood
2017-0245-CHN,2017,Flood
2017-0264-CHN,2017,Flood
2017-0478-COL,2017,Flood
2017-0284-CHN,2017,Storm
2017-0360-DEU,2017,Storm
2017-0463-CHN,2017,Flood
2017-0072-AUS,2017,Wildfire
2017-0271-CAN,2017,Wildfire
2017-0105-AUS,2017,Storm
2017-0080-BDI,2017,Landslide
2017-0529-CHL,2017,Landslide
2017-0352-CHN,2017,Storm
2017-0410-COL,2017,Storm
2017-0381-CUB,2017,Storm
2017-0381-DOM,2017,Storm
2017-9207-AGO,2017,Drought
2017-0026-AFG,2017,Landslide
2017-0027-AFG,2017,Landslide
2017-0010-ALB,2017,Extreme temperature
2017-0010-BLR,2017,Extreme temperature
2017-0033-DZA,2017,Extreme temperature
2017-0288-AFG,2017,Flood
2017-0109-AGO,2017,Flood
2017-0381-AIA,2017,Storm
2017-0548-ARE,2017,Flood
2017-0195-ARG,2017,Flood
2017-0031-ARG,2017,Landslide
2017-0104-ARG,2017,Flood
2017-0221-ARG,2017,Flood
2017-0381-ATG,2017,Storm
2017-0562-AUS,2017,Storm
2017-0360-AUT,2017,Storm
2017-0480-BFA,2017,Epidemic
2017-0368-BFA,2017,Flood
2017-0139-BGD,2017,Storm
2017-0138-BGD,2017,Flood
2017-0152-BGD,2017,Storm
2017-0556-BGD,2017,Epidemic
2017-0342-BGD,2017,Flood
2017-0381-BHS,2017,Storm
2017-0551-BRA,2017,Epidemic
2017-0381-BRB,2017,Storm
2017-0079-BWA,2017,Flood
2017-0094-CAF,2017,Storm
2017-0384-CAF,2017,Flood
2017-0126-CAN,2017,Flood
2017-0471-CAN,2017,Flood
2017-0350-CHE,2017,Mass movement (dry)
2017-0218-CHL,2017,Flood
2017-0143-CHN,2017,Storm
2017-0214-CHN,2017,Storm
2017-0110-CHN,2017,Storm
2017-0113-CHN,2017,Earthquake
2017-0124-CHN,2017,Earthquake
2017-0513-CHN,2017,Earthquake
2017-0044-CHN,2017,Landslide
2017-0332-CHN,2017,Landslide
2017-0363-CHN,2017,Landslide
2017-0201-CHN,2017,Landslide
2017-0281-CHN,2017,Storm
2017-0326-CHN,2017,Storm
2017-0485-CHN,2017,Storm
2017-9206-CHN,2017,Drought
2017-0254-CHN,2017,Flood
2017-0287-CHN,2017,Flood
2017-0372-CHN,2017,Flood
