Dis No,Country,Region,Continent,Location,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs,Insured Damages,Total Damages
2018-0250-CHN,China,Eastern Asia,Asia,"Deyang, Mianyang, Guangyuan prefectures (Sichuan province)",3.0,,1381000.0,,1381000.0,,,781283.0
2018-0252-CHN,China,Eastern Asia,Asia,"Tianshui, Zhangye, Pingliang (Gansu province)",16.0,,1519000.0,,1519000.0,,,530689.0
2018-0369-CHN,China,Eastern Asia,Asia,,18.0,,11400.0,,11400.0,,,790000.0
2018-0185-CIV,Côte d’Ivoire,Western Africa,Africa,"Abobo, Adjamé, Attécoubé, Cocody, Kumasi, Yopougon districts (Abidjan); Tiassalé, Toulepleu, San Pedro",20.0,,25000.0,,25000.0,,,
2018-0435-CMR,Cameroon,Middle Africa,Africa,"North, Far North, Central, Littoral region",57.0,942.0,,,942.0,,,
2018-9277-CRI,Costa Rica,Central America,Americas,,,,,,,,,
2018-0373-CUB,Cuba,Caribbean,Americas,"Sandino, San Juan municipalities (Pinar del Rio province)",,,540.0,,540.0,,,
2018-0061-CZE,Czech Republic (the),Eastern Europe,Europe,,3.0,,,,,,,
2018-0235-DEU,Germany,Western Europe,Europe,,,,,,,,,
2018-0280-DOM,Dominican Republic (the),Caribbean,Americas,San Cristóbal and Santo Domingo provinces,,,,8000.0,8000.0,,,
2018-0218-DOM,Dominican Republic (the),Caribbean,Americas,"San Cristóbal Province, Santo Domingo Province, Distrito Nacional",,,7390.0,,7390.0,,,
2018-0162-DZA,Algeria,Northern Africa,Africa,"Tiaret, El-Bayadh",6.0,,200.0,,200.0,,,
2018-0235-ESP,Spain,Southern Europe,Europe,,9.0,,,,,,,
2019-0073-BOL,Bolivia (Plurinational State of),South America,Americas,"Chuquisaca, La Paz, Potosí, Oruro, Cochabamba, Tarija, Pando, Beni, Santa Cruz departments",60.0,,335540.0,,335540.0,,,
2019-0050-AFG,Afghanistan,Southern Asia,Asia,Kohistan district (Badakhshan province),30.0,,,,,,,
2019-0387-CHN,China,Eastern Asia,Asia,Zhejiang and Shandong provinces,72.0,,108000.0,,108000.0,,,10000000.0
2019-0337-BGD,Bangladesh,Southern Asia,Asia,"Kurigram, Gaibandha, Lalmonirhat, Chattogram, Bandarban, Rangamati, Sylhet, Sunamganj, Bogura, Nilphamari, Khagrachari, Cox’s Bazar, Feni, Netrokona, Sirajganj, Jamalpur, Tangail, Moulavibazar, Habiganj, Sherpur, Brahmanbaria, Chandpur, Faridpur, Madaripur, Manikganj, Munshiganj, Rajbari, Shariatpur districts",114.0,,7600000.0,,7600000.0,,,75000.0
2019-0216-AFG,Afghanistan,Southern Asia,Asia,"Kishim, Argo, Shahri Buzurg and Tishkan districts, Badakhshan province.",3.0,,,,,,,
